Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified
IMPACT OF HORTICULTURE ON THE SUSTAINABLE LIVELIHOOD DEVELOPMENT OF SMALLHOLDERS: A SPAR-4-SLR & FUTURE RESEARCH AGENDA,Mukherjee D.; Jena L.K.; Chakraborty S.; Debnath R.; Hasan K.K.,2024,10.51599/ARE.2024.10.02.04,"Purpose. The perishable nature of the horticulture (fruits, vegetables, and flowers) industry makes it more complex to study. The higher return and nutritional benefits compared to traditional agricultural products expand the research scope for the stakeholders’ sustainable benefit. Nevertheless, despite limited research, this study explicitly examines additional facets of smallholder development beyond the traditional economic, social, and environmental dimensions. Methodology / approach. To fill this knowledge gap, we comprehensively reviewed 73 articles published between 2013 and 2022 in international scientific journals with an SJR (Scimago Journal & Country Rank) Q1 ranking. We followed the “Scientific Procedures and Rationales for Systematic Literature Reviews” (SPAR-4-SLR) protocol to identify different aspects of smallholders’ development. Literature from Web of Science and Scopus databases was analysed and organised using the TCCM (Theory, Context, Characteristics, and Methodology) framework. Results. The study identified important factors like infrastructure, commercialisation, market access, marketing, credit, policies, information, intervention, training, technology, and collaboration that could uncover crucial economic, political, social, psychological, ecological, cultural, physical and nutritional aspects of development in general. The study also suggests that implementation Agriculture 4.0 through advanced technologies like IoT, AI, and vertical and bio-fortification practices can help in sustainable livelihood development in horticulture. Originality / scientific novelty. The limited or lack of comprehensive studies on smallholders’ sustainable livelihood development with different dimensions makes this research a bridge to identify other dimensions instead of only focusing on the horticultural sector’s economic, social, and ecological aspects. It uses the Agricultural Innovation System and Farmer First theories, stating that the farmer is the first priority and must collaborate and interact to implement technology and innovations for smallholder livelihood development. Practical value / implications. This research will help in decision-making regarding smallholders’ livelihoods in all eight dimensions at all levels of government, private and other stakeholders, suggesting a triple-helix model. © 2024, Institute of Eastern European Research and Consulting. All rights reserved.",economics; horticulture; livelihood development; smallholders; sustainability; technology forecasting,Institute of Eastern European Research and Consulting,scopus-ai,0,Out of Scope,[],"The abstract focuses on the horticulture industry and smallholder development, emphasizing agricultural practices, sustainable livelihood, and technological interventions like AI and IoT. However, it does not directly relate to marketing activities or applications of AI in marketing, such as customer understanding, market analysis, or personalization. Therefore, it falls outside the defined categories.",0%,0%,0%,100%,0%
Out of the fog: fog computing-enabled AI to support smart marketing management,Hornik J.; Ofir C.; Rachamim M.,2024,10.1007/s11301-024-00441-0,"Marketing and consumer research use a variety of data and electronic measurement devices for research, theory-building, and applied decision-making. Managing data deluge produced by ‘smart devices’ and internet of things (IoT) actuators and sensors is one of the challenges faced by managers when using IoT systems. With the advent of the cloud-based IoT and artificial intelligence, which are advancing a ‘smart world’ and introducing automation in many application areas, such as ‘smart marketing,’ a need has arisen for various modifications to support the IoT devices that are at the center of the automation world, including recent language models like, ChatGPT and Bart, and technologies like nanotechnology. The article introduces the marketing community to a recent computing development: IoT-driven fog computing (FC)—an emerging concept that decentralizes operations, management, and data into the network utilizing a distributed and federated computing paradigm. Although numerous research studies have been published on ‘smart’ applications, none hitherto have been conducted on fog-based smart marketing. FC is considered a novel computational system, which can mitigate latency and improve bandwidth utilization for autonomous marketing applications requiring real-time processing of ‘big data’ typical of smart marketing ecosystems. © The Author(s) 2024.",Artificial intelligence (AI); Digital marketing; Edge computing; Fog computing; Marketing internet of things (MIoT); O; Smart marketing; Software defined networks (SDN),Springer Nature,scopus-ai,1,Mechanical AI,"['data deluge', 'IoT systems', 'automation', 'fog computing', 'real-time processing', 'big data']","The abstract discusses the use of IoT devices and fog computing in marketing contexts, primarily focusing on managing data collection and processing in 'smart marketing' ecosystems. It emphasizes the automation of data handling and processing, which aligns with the definitions provided for Mechanical AI, particularly in data collection and standardization processes. While the abstract mentions new technologies and improvements in operational efficiency, it does not delve into emotional understanding or market analysis, which would relate it to the other categories.",0%,80%,20%,0%,0%
The Role of AI in Enhancing Marketing Communication: Implications for Policy and Development in Indonesian Higher Education,Isnaini S.; Muslimin A.I.,2024,10.11114/smc.v12i4.7013,"This research delves into the transformative impact of Artificial Intelligence (AI) on marketing communication within the Indonesian higher education sector. By adopting advanced AI technologies like machine learning algorithms, universities aim to enhance customer engagement, understand student behavior, and personalize marketing strategies. The study combines quantitative data, showcasing the extent of AI adoption and its outcomes, with qualitative insights to highlight the effectiveness of AI in improving key marketing metrics. Post-AI integration, there were significant increases in student inquiries, application rates, and enrollment numbers, underscoring the tangible benefits of AI-driven marketing strategies. The findings emphasize the strategic shift towards data-driven decision-making and personalized engagement, positioning Indonesian universities at the forefront of innovative marketing practices. This research contributes valuable insights for academia, industry practitioners, and policymakers looking to leverage AI for strategic marketing initiatives in higher education. © 2024 Redfame Publishing Inc.. All rights reserved.",artificial intelligence; development; higher education; marketing communication; policy,Redfame Publishing Inc.,scopus-ai,0,Thinking AI,"['Artificial Intelligence', 'marketing communication', 'customer engagement', 'student behavior', 'personalize', 'data-driven decision-making', 'enrollment numbers', 'marketing metrics']","The abstract discusses the use of Artificial Intelligence in enhancing marketing strategies within the Indonesian higher education sector, focusing on customer engagement, understanding student behavior, and personalizing marketing efforts. This aligns with the 'Thinking AI' category, particularly in market analysis and personalization of marketing strategies based on data insights. The mention of significant increases in student inquiries and enrollment further supports a strategic analysis of marketing effectiveness.",10%,30%,60%,0%,0%
Deploying artificial intelligence in services to AID vulnerable consumers,Hermann E.; Williams G.Y.; Puntoni S.,2024,10.1007/s11747-023-00986-8,"Despite offering substantial opportunities to tailor services to consumers’ wants and needs, artificial intelligence (AI) technologies often come with ethical and operational challenges. One salient instance of such challenges emerges when vulnerable consumers, consumers who temporarily or permanently lack resource access or control, are unknowingly discriminated against, or excluded from the marketplace. By integrating the literature on consumer vulnerability, AI for social good, and the calls for rethinking marketing for a better world, the current work builds a framework on how to leverage AI technologies to detect, better serve, and empower vulnerable consumers. Specifically, our AID framework advocates for designing AI technologies that make services more accessible, optimize customer experiences and journeys interactively, and to dynamically improve consumer decision-making. Adopting a multi-stakeholder perspective, we also discuss the respective implications for researchers, managers, consumers, and public policy makers. © The Author(s) 2023.",Artificial intelligence; Ethics; Justice; Service; Vulnerable consumers,Springer,scopus-ai,11,Feeling AI,"['vulnerable consumers', 'empower', 'accessible services', 'optimize customer experiences', 'consumer decision-making']","The abstract discusses leveraging AI technologies to detect and better serve vulnerable consumers, focusing on understanding their needs and making services more accessible, which aligns with the objectives of Feeling AI. It emphasizes customer understanding, improving experiences, and tailoring services that resonate emotionally with consumers.",70%,10%,20%,0%,0%
THE IMPACT OF BRAND-VOICE INTEGRATION AND ARTIFICIAL INTELLIGENCE ON SOCIAL MEDIA MARKETING,Murár P.; Kubovics M.; Jurišová V.,2024,10.34135/COMMUNICATIONTODAY.2024.VOL.15.NO.1.4,"Corporate identity plays an important role in the success and competitiveness of businesses in today’s dynamic business environment. It encompasses brand identity, organisational culture, values, and reputation, and is key in building relationships with stakeholders. An ethical corporate identity, in particular the perception of a company as ethical and socially responsible, positively influences employee behaviour and engagement. Artificial Intelligence (AI) has revolutionised business management and offers innovative solutions to improve decision-making, efficiency, and transparency. Integrating AI into corporate governance can improve risk management, compliance, and accountability. In the digital age, social media are key in building and maintaining the brand voice of businesses. With the advent of AI, new tools such as Chat GPT have emerged to simplify and accelerate content creation, including social media posts. However, achieving satisfactory brand-voice results using AI requires careful analysis and extensive, representative data that travels into the prompter. Although AI-generated content is fast, it should be vetted by experienced experts to ensure it aligns with brand values and brand image. Although Chat GPT promises to generate content and brand-voice, its successful use requires collaboration with experienced experts and thoughtful consideration of its use in building and maintaining an authentic and effective brand-voice. © (2024), (University of SS. Cyril and Methodius). All Rights Reserved.",artificial intelligence; brand communication; brand perception; brand-voice integration; social media marketing,"University of SS. Cyril and Methodius, Faculty of Mass Media Communication",scopus-ai,3,Thinking AI,"['corporate identity', 'brand identity', 'employee behaviour', 'AI', 'decision-making', 'compliance', 'social media', 'content creation', 'brand voice', 'data analysis']","The abstract discusses the integration of AI into corporate governance, which aligns with the strategic analysis and decision-making aspects of marketing, indicating a focus on improving risk management and accountability. It also highlights the importance of understanding brand identity and how AI can assist in maintaining a brand voice through innovative content creation. The emphasis on ethical corporate identity and its influence on employee behaviour suggests a consideration of positioning and targeting in the marketing context, further supporting its classification under Thinking AI.",10%,10%,80%,0%,0%
"Artificial Intelligence, Neuroscience and Emotional Data. What Role for Private Autonomy in the Digital Market?",Dal Verme T.M.C.,2023,10.5553/ELR.000257,"Within the context of mass production, consumers represent a vulnerable category since they are the weaker contracting party due to the existing information asymmetry between companies and customers. Moreover, consumers suffer from new forms of vulnerability due to the combination of new technological phenomena – such as Artificial Intelligence (AI) and Big Data – and the latest findings in neuroscience, which allows businesses to have a monopoly on the newly acquired knowledge on consumers’ purchase decision-making. This article aims at analysing the new technological trends in digital marketing that show the increasing role of ‘AI emotional marketing’ as a tool to access the inner and unconscious layers of consumers’ mind to redirect their economic choices. In this respect, the article will focus on the legal notion of ‘autonomy’ within the EU legislation on consumer protection and contract law, in order to investigate whether the current legal framework is well equipped to counteract the new form of algorithmic manipulation in the digital market. © 2023, Boom Uitgevers. All rights reserved.",Artificial Intelligence; consumer vulnerability; contract law; emotions; private autonomy,Boom Uitgevers,scopus-ai,1,Feeling AI,"['vulnerability', 'emotional marketing', 'consumer decision-making', 'algorithmic manipulation']","The abstract discusses 'AI emotional marketing' and its role in accessing the unconscious layers of consumers' minds to influence their economic choices. This directly aligns with the focus on customer understanding and emotional needs characteristic of Feeling AI. Additionally, the analysis of consumer autonomy in the context of algorithmic manipulation indicates a deep engagement with emotional and psychological factors in consumer behavior.",70%,10%,20%,0%,0%
Multiheaded deep learning chatbot for increasing production and marketing,Zheng S.; Yahya Z.; Wang L.; Zhang R.; Hoshyar A.N.,2023,10.1016/j.ipm.2023.103446,"Some businesses on product development prefer to use a chatbot for judging the customer's view. Today, the ability of a chatbot to consider the context is challenging due to its technical nature. Sometimes, it may misjudge the context, making the wrong decision in predicting the product's originality in the market. This task of chatbot helps the enterprise make huge profits from accurate predictions. However, chatbots may commit errors in dialogs and bring inappropriate responses to users, reducing the confidentiality of product and marketing information. This, in turn, reduces the enterprise gain and imposes cost complications on businesses. To improve the performance of chatbots, AI models are used based on deep learning concepts. This research proposes a multi-headed deep neural network (MH-DNN) model for addressing the logical and fuzzy errors caused by retrieval chatbot models. This model cuts down on the error raised from the information loss. Our experiments extensively trained the model on a large Ubuntu dialog corpus. The recall evaluation scores showed that the MH-DNN approach slightly outperformed selected state-of-the-art retrieval-based chatbot approaches. The results obtained from the MHDNN augmentation approach were pretty impressive. In our proposed work, the MHDNN algorithm exhibited accuracy rates of 94% and 92%, respectively, with and without the help of the Seq2Seq technique. © 2023 Elsevier Ltd",Artificial intelligence; Business product development; Chatbot; Deep neural network; Marketing,Elsevier Ltd,scopus-ai,13,Mechanical AI,"['chatbot', 'context', 'predictions', 'errors', 'performance', 'data', 'deep learning', 'dialog corpus', 'accuracy']","The abstract discusses the use of chatbots in product development and how they can help businesses make accurate predictions about customer views. The focus is on improving the performance of chatbots through AI models and deep learning, which relates to the automation and processing of customer data. This aligns with the Mechanical AI category, which emphasizes data collection and processing, and the automation of customer interactions.",10%,70%,20%,0%,0%
Critical Success Factors in AI Healthcare Industry Executing Service Marketing,Tsai W.-J.; Yao S.-H.,2024,10.33788/rcis.85.12,"The popularity of telecommute and telehealth care models as well as people’s changes in consumption patterns accelerate the transformation and reform of healthcare industry. Under the catalysis of real needs and technologies, smart healthcare will become the mainstream in the future. Under the specific time and space background, solutions for medical technology innovation has to keep pace with times. Current marketing strategies do not simply rely on external publicity, but also stress on the promotion of service quality for customers actually experiencing good service attitudes. Aiming at customers of AI healthcare industry as the questionnaire analysis objects, total 300 copies of questionnaire are distributed, and 241 valid copies are retrieved, with the retrieval rate 80%. The research results show that external marketing is the most emphasized dimension in AI healthcare industry executing service marketing, and top five indicators, among 12, are ordered information system, customer oriented service process, internal training, media communication, and regulations for service personnel. Finally, conclusions and suggestions are proposed according to the results, expecting to deeply understand critical success factors in AI healthcare industry executing service marketing and provide valuable information for AI healthcare industry making management decisions in the execution of service marketing. © 2024, Expert Projects. All rights reserved.",AI healthcare industry; critical success factor; healthcare; organizational goals; service marketing,Expert Projects,scopus-ai,0,Out of Scope,"['telehealth', 'healthcare industry', 'AI healthcare', 'service marketing']","The abstract discusses the transformation in the healthcare industry due to telecommute and telehealth models, focusing on smart healthcare and service marketing strategies specific to the AI healthcare sector. The primary emphasis is on medical technology innovation and service quality rather than direct marketing applications relevant to customer segmentation, market analysis, or emotional engagement typical of the defined categories. Therefore, it falls outside the scope of traditional marketing applications.",0%,0%,0%,100%,0%
Fog Computing-Based Smart Consumer Recommender Systems,Hornik J.; Ofir C.; Rachamim M.; Graguer S.,2024,10.3390/jtaer19010032,"The latest effort in delivering computing resources as a service to managers and consumers represents a shift away from computing as a product that is purchased, to computing as a service that is delivered to users over the internet from large-scale data centers. However, with the advent of the cloud-based IoT and artificial intelligence (AI), which are advancing customer experience automations in many application areas, such as recommender systems (RS), a need has arisen for various modifications to support the IoT devices that are at the center of the automation world, including recent language models like ChatGPT and Bard and technologies like nanotechnology. This paper introduces the marketing community to a recent computing development: IoT-driven fog computing (FC). Although numerous research studies have been published on FC “smart” applications, none hitherto have been conducted on fog-based smart marketing domains such as recommender systems. FC is considered a novel computational system, which can mitigate latency and improve bandwidth utilization for autonomous consumer behavior applications requiring real-time data-driven decision making. This paper provides a conceptual framework for studying the effects of fog computing on consumer behavior, with the goal of stimulating future research by using, as an example, the intersection of FC and RS. Indeed, our conceptualization of the “fog-based recommender systems” opens many novel and challenging avenues for academic research, some of which are highlighted in the later part of this paper. © 2024 by the authors.",artificial intelligence (AI); edge computing; fog computing; internet of things (IoT); recommender system; software defined networks (SDNs),Multidisciplinary Digital Publishing Institute (MDPI),scopus-ai,0,Thinking AI,"['fog computing', 'recommender systems', 'consumer behavior', 'data-driven decision making', 'IoT', 'automation', 'customer experience']","The abstract discusses the implications of fog computing on consumer behavior and its intersection with recommender systems, which aligns with the strategic analysis and targeting aspects of Thinking AI. The focus on improving bandwidth utilization for real-time decision-making in marketing also highlights the analytical and targeted nature of the proposed research.",0%,25%,75%,0%,0%
The impact of artificial intelligence on intellectual capital development: Shifting requirements for professions and processes in the non-profit sector,Popescu C.R.G.; Šebestová J.D.,2024,10.24294/jipd.v8i10.3899,"The use of artificial intelligence (AI) is related to the dynamic development of digital skills. This article focuses on the impact of AI on the work of non-profit organizations that aim to help those around them. Based on 10 semi-structured interviews, it is presented here how it is possible to work with AI and in which areas it can be used—in social marketing, project management, routine bureaucracy. At the same time, workers and volunteers need to be educated in critical and logical thinking more than ever before. These days, AI is becoming more and more present in almost all the activities, bringing several benefits to those making use of it. On the one hand, by using AI in the day-to-day activities, the entities are able to substantially decrease their costs and have the advantage of being able to have, in most cases, a better and faster job done. On the other hand, those individuals that are more creative and more innovative in their line of work should not feel threatened by those situations in which organizations decide to use more AI technologies rather than human beings for the routine activities, since they will get the opportunity to perform tasks that truly require their intellectual capital and decision making abilities. © 2023 by author(s).",artificial intelligence; digital technologies; intellectual capital; non-profit; sustainable development,"EnPress Publisher, LLC",scopus-ai,2,Out of Scope,"['artificial intelligence', 'non-profit organizations', 'social marketing', 'project management', 'routine bureaucracy', 'cost reduction', 'decision making']","The abstract discusses the impact of artificial intelligence on non-profit organizations and their operations, such as social marketing and project management. However, it does not specifically relate to marketing in a commercial context or address customer emotions, market analysis, or targeted marketing strategies. Therefore, it falls outside the defined marketing categories.",0%,0%,0%,100%,0%
