Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified
Managerial applicability of graphical formats to support positioning decisions,Cornelius B.; Wagner U.; Natter M.,2010,10.1007/s11301-010-0061-y,"Issues of segmentation and positioning have always been at the heart of marketing management. In recent years, much methodological progress has been made in order to carry out these two tasks simultaneously, that is, to combine certain types of clustering algorithms with appropriate multidimensional scaling or unfolding procedures. When trying to provide managers with a tool to support marketing decision-making in segmentation and positioning, the ease of use and the visual quality of results must be emphasized. This paper provides a state-of-the-art review of alternative graphical formats designed to assist strategic management. It focuses on three aspects, namely, (I) representing competitive market structures, (II) illustrating preferences for product attributes, and (III) describing customer heterogeneity at the individual as well as segment-specific levels; this paper also explores the interrelations among these aspects. The benefits and limitations of different approaches are discussed, and graphical examples are provided. Advances in academic research are contrasted with the information requirements of marketing managers. Finally, recommendations on the applicability of these alternatives for practical use are offered, and issues for further research are specified. © Wirtschaftsuniversität Wien, Austria 2010.",Graphical formats; Managerial applicability; Multidimensional scaling; Positioning; Segmentation; Targeting; Unfolding,,scopus-recommendation,13,Thinking AI,"['segmentation', 'positioning', 'market analysis', 'customer preferences', 'strategic management', 'competitive market structures', 'product attributes', 'customer heterogeneity']","The abstract discusses the methodological advancements in segmentation and positioning within the marketing realm, emphasizing the application of clustering algorithms and multidimensional scaling. It focuses on providing tools for managers to support decision-making, showcasing elements of market analysis and competitive structures, which aligns closely with the definitions under Thinking AI. The paper's emphasis on analyzing customer preferences and competitive market structures further supports its classification in this category.",0%,0%,100%,0%,0%
Key success factors for obtaining a one Tambon One Product Food five-star rating in Phatthalung and Songkhla provinces,Noknoi C.; Boripunt W.; Lungtae S.,2012,,"The main purpose of the research is to study the key success factors for obtaining a One Tambon One Product (OTOP) food five-star rating, in terms of the characteristics of the community enterprise: management, marketing, production, product development, financial management and agency support. Data was collected from both the presidents and the customers of community enterprises in Phatthalung and Songkhla provinces whose products were selected as five-star food products of the OTOP project in 2011. In-depth interviews were used to collect data from 13 presidents of community enterprises. For consumers, 260 consumers (a group of 20 customers from each community enterprise) were selected to be the sample, and data was collected by both interview and questionnaire. Content analysis was used to analyse the qualitative data while means, standard deviation and percentage were used to analyse the quantitative data. In terms of management functions, most of the entrepreneurs carry out all management functions: planning, organizing, leading and controlling. On planning, the majority of the managers do all the planning for the enterprise. On organization, all responsibilities are divided between the staff according to their rates of pay. The president of the community enterprise leads the business. Morale has been built up to motivate the staff, and conflict has been eliminated within the operation. Monitoring the activities of the members, and training given by the organization itself or by a third party, were used as part of the controlling function. In terms of marketing, the majority of entrepreneurs focused on a marketing plan for distribution and promotion. They paid great attention to the quality of the product, and the price was set by considering relevant factors. Customers were attracted by various means, and the products were distributed at a place which was convenient for consumers to access. Sales promotions and advertising were used for the promotion mix. Competitors also sell similar products. In terms of production, the entrepreneurs used local raw materials from local or nearby suppliers under long-term contracts. Products were produced on demand using standard technology along with labour. Product quantity was fixed with the customer order. Most products were certified by the food agency. In order to enhance customer choice, most entrepreneurs have developed new products. In term of finances, most of the entrepreneurs have a financial plan in which the initial finance came from the owner or the president of the group. Working capital was allocated and the account was managed. Dividends were shared between all members, and the businesses have no outstanding debt. In terms of support, most of the enterprises were supported by government agencies, and only one enterprise was supported by a private agency. The main problems of production were the uncertainty of nature, the inadequacy of raw materials, delays in production during high season, the product reaching its expiry date, and a shortage of labour. The results from consumers indicated that the taste and cleanliness of the product were the factors that impact on their buying decision when the purpose of buying was to consume the product oneself. More than fifty per cent of customers bought the products more than twice. The purchasing motivation was the consumption of the product. The level of product satisfaction of the consumers was very high, while the levels of satisfaction with price, place and promotion were high. The recommendations are that the community enterprise should have 1) explicit planning of its operation, 2) a clear organization and allocation of responsibilities, 3) short and long term planning, 4) an emphasis on product development, 5) effective production planning, and 6) systematic accounting. Moreover, 7) the government should have a policy which practically supports the OTOP entrepreneurs.",,,scopus-recommendation,1,Feeling AI,"['customer satisfaction', 'taste', 'cleanliness', 'buying decision', 'emotional needs', 'product satisfaction']","The abstract discusses factors that impact customer buying decisions and satisfaction, particularly focusing on the emotional responses of consumers to the products, such as taste and cleanliness. It emphasizes understanding and meeting customer emotional needs, which aligns with the Feeling AI category. The importance of customer satisfaction and the role of emotions in purchasing behavior are central themes.",60%,20%,15%,0%,5%
Brand-building website design for independent hotels: A replicated model,Nassar M.; Abdou S.H.,2013,,"This paper aims to explore the opportunities that online marketing has to offer and contribute towards small independent hotels in view of the recent decline in hotel brand loyalty. This decline has been fuelled by consumer trends for ‘getting their money’s worth’ and the ability for the small or medium-sized hospitality establishments to reach consumers via Web Based Marketing Strategies. This has narrowed the competition gap with larger international hotel chains considerably. The paper includes a study which identifies the features of hotel websites that are essential to the building and structure of an effective hotel website. The six key elements identified in this paper are accessibility, information, credibility, e-commerce, customer relationship and immediacy. The reliability and validity of this six-element framework as a reflection of user requirements was ‘derived’ and established using empirical data from a survey. These six elements are established factors in granting online customer satisfaction and gaining customer loyalty. An important or crucial sector covered by this study is the Guest User Interface (GUI) of websites (accessibility). It has proven to be evident that attractive, easy to use or a user friendly interface is vital to keep consumers on the site without navigating them to another site long enough to make decisions. The conclusion of this paper is that independent hotels must leverage this opportunity by establishing a strong Web presence and capitalize on other sideline recommendations which include collaborations with third-party booking sites (such as Hotels.com) and developing informative, feature-rich websites of their own. © Mohamed Nassar, Sherif Hassan Abdou, 2013.",Branding; Hotels; Replicated model; Websites,LLC CPC Business Perspectives,scopus-recommendation,0,Thinking AI,"['customer satisfaction', 'user requirements', 'market analysis', 'customer loyalty', 'web presence', 'competitive advantage']","The abstract discusses the use of web-based marketing strategies by independent hotels to enhance customer satisfaction and loyalty in the face of declining brand loyalty. This involves analyzing market opportunities and identifying essential features for hotel websites, which aligns with the market analysis focus of Thinking AI. The emphasis on understanding user requirements and competitive advantages further supports this classification.",10%,15%,70%,0%,5%
International student destination choice: The influence of home campus experience on the decision to consider branch campuses,Wilkins S.; Huisman J.,2011,10.1080/08841241.2011.573592,"Previous research has found that the country and institution choices of international students are greatly influenced by recommendations they receive from others who have experience of undertaking higher education overseas. For Western universities, it is of utmost importance to satisfy their international students, who can then encourage the next generation of international students to attend those same institutions. However, student satisfaction is not the only factor at play. Using a framework of 'push and pull' factors, rooted in the international student choice literature, this exploratory study investigates the determinants of destination choice of international students who decided to study at a university in the UK and examines their attitudes toward international branch campuses. The survey results and analyses suggest that overseas campuses could pose a considerable threat to home campuses in the competition for international students in the future. ©2011 Taylor & Francis.",Competition; Higher education marketing; International branch campuses; Student choice; Student recruitment,,scopus-recommendation,84,Thinking AI,"['international students', 'destination choice', 'recommendations', 'satisfaction', 'push and pull factors', 'survey results', 'competition']","The abstract discusses the determinants of destination choice for international students, which involves market analysis of factors influencing their decisions. It also highlights the importance of student satisfaction and the competitive landscape between home and overseas campuses. This aligns with the category of Thinking AI, which focuses on market analysis and identifying competitive advantages.",10%,0%,90%,0%,0%
Imitation as the sincerest form of ignorance,Rotfeld H.J.,2008,10.1108/07363760810882443,"Purpose - This paper aims to note the imitation of apparently successful advertising as a replacement for thought by too many advertisers, misapplying the tactics of what seem to be past successes by other companies to current situations, sometimes not even attempting to find insight relevant to the current advertising situation. Imitation of what may be lucky accidents has become a tool for improper applications of old tactics to new problems. Design/methodology/approach - Noting the frequent pronouncements by business journalists that many businesses do things because they know they ""work,"" the reality is that even among marketing professionals, conventional wisdom is often, at best, an oxymoron. Findings - The pragmatic business need is to analyze new situations and consumer interests. Originality/value - The paper shows that, since advertising decisions are often the recommendations from outside suppliers, business managers who pay for this advice must realize that past success by others does not mean that an imitative effort will enjoy similar success. Without data on how or why the other effort might have been successful means that imitation could be borrowing the worst parts of the earlier ideas. © Emerald Group Publishing Limited.",Advertising; Marketing management; Politics,,scopus-recommendation,0,Thinking AI,"['imitation', 'advertising', 'analysis', 'consumer interests', 'tactics', 'past success', 'insight']","The abstract discusses the pitfalls of imitative advertising strategies without proper analysis of current situations and consumer interests. It emphasizes the need for marketers to analyze new contexts rather than rely on past successes, aligning with the focus on market analysis and targeting within Thinking AI. The mention of the importance of data and insight further supports this classification.",0%,0%,100%,0%,0%
Value-driven project and portfolio management in the pharmaceutical industry: Drug discovery versus drug development - Commonalities and differences in portfolio management practice,Bode-Greuel K.M.; Nickisch K.J.,2008,10.1057/jcb.2008.6,"The concept of portfolio management has been widely used in the pharmaceutical industry. It is used to evaluate the commercial value and the risk structure of development projects. The final goal is to select a portfolio of projects that addresses the strategic objectives of the organisation optimally and that leads to the highest overall portfolio value. Companies now start to apply the portfolio management concept on their research portfolios. Although the basic principle remains the same, the methodology applied has to be adapted to the greater uncertainty that early research projects carry. Commonalities and differences of the portfolio management process in research and development are described and recommendations are given how to harmonise the two different approaches.",,,scopus-recommendation,15,Out of Scope,"['portfolio management', 'pharmaceutical industry', 'commercial value', 'risk structure', 'development projects', 'strategic objectives', 'research portfolios', 'uncertainty', 'methodology']","The abstract discusses portfolio management in the pharmaceutical industry, focusing on project evaluation and strategic alignment. It does not involve marketing applications related to customer understanding, market analysis, or emotional engagement. Therefore, it falls outside the scope of marketing-related AI applications.",0%,0%,0%,100%,0%
Exploring geographic disparities in broadband access and use in rural southern Illinois: Who's being left behind?,Oyana T.J.,2011,10.1016/j.giq.2010.09.003,"Recent literature about broadband telecommunications reveals two major areas that are not only globally gaining prominence, but are also demanding urgent attention from a research perspective. One of the key areas is related to the need to spatially evaluate the availability and deployment of broadband services, especially among urban versus rural communities. Another area of interest falls under the need for enabling broadband policies and strategies that address existing geographic disparities. These motivating factors shaped this research and provided a basis for defining three specific objectives, namely: (1) to identify locations with or without broadband access, (2) to identify underserved rural and inner-city markets, and (3) to determine whether university and community college towns can be used in the adoption and dispersion of broadband technologies in southern Illinois. Supply-side and demand-side data were collected and inputted into a Geographic Information System (GIS). Supply-side data included cable modem, digital subscriber lines (DSL), wireless, and fiber optic lines, while demand data included reported broadband requests from individuals without access (n = 439), students (n = 45,866), and higher education workforce (n = 5419). Using the GIS and statistical techniques, insightful maps of broadband infrastructure were created to illustrate areas of supply and demand so that governments and businesses can address existing gaps in consumer needs. Specifically, different levels of broadband access and use were mapped; different under-served rural and inner-city markets were identified so as to emphasize the dramatic economic impact on the business opportunities available to small business entrepreneurs. Also, different geographies of use and accessibility of broadband connectivity in the study region were synthesized to support decision-making. The resulting maps provided supply and demand marketing intelligence based on the geographic analyses of residential and enterprise sectors. These data can be used as a model to develop specific policy recommendations for a knowledge-based economy, specifically for the southern Illinois region or other rural communities in the United States. © 2010 Elsevier Inc.",Broadband; Digital divide; GIS; ICT; Spatial analysis,,scopus-recommendation,22,Thinking AI,"['broadband access', 'market analysis', 'geographic disparities', 'supply and demand', 'economic impact', 'decision-making', 'policy recommendations']","The abstract discusses the spatial evaluation of broadband services and the identification of underserved markets, which aligns with market analysis and targeting in marketing. The use of Geographic Information System (GIS) to create maps that illustrate supply and demand indicates a focus on analyzing market conditions and making informed decisions. The intent to provide policy recommendations and insights for business opportunities further supports its categorization under Thinking AI.",0%,0%,100%,0%,0%
Referral equity and referral management: The supplier firm's perspective,Hada M.; Grewal R.; Lilien G.L.,2010,10.1108/S1548-6435(2010)0000007008,"From the supplier firm's perspective, a referral is a recommendation from A (the referrer) to B (the potential customer) that B should, or should not, purchase from C (the supplier firm). Thus, as referrals are for a specific supplier firm, they should be viewed as part of the supplier firm's marketing and sales activities. We recognize three types of referrals - customer-to-potential customer referrals, horizontal referrals, and supplier-initiated referrals - that have critical roles in a potential customer's purchase decision.We develop the concept of referral equity to capture the net effect of all referrals for a supplier firm in the market. We argue that supplier firms should view referral equity as a resource that has financial value to the firm as it affects the firm's cash flows and profits. We offer strategies firms can use to manage referrals and build their referral equity and suggest a research agenda. Copyright © 2010 by Emerald Group Publishing Limited.",,,scopus-recommendation,8,Thinking AI,"['referral', 'recommendation', 'purchase decision', 'referral equity', 'marketing activities', 'strategies']","The abstract discusses the concept of referrals in the context of supplier firms' marketing and sales activities. It emphasizes the importance of referrals in influencing purchase decisions and introduces the idea of referral equity as a valuable resource for firms. This aligns closely with market analysis and strategic targeting, as firms can leverage referrals to enhance their market position and financial outcomes.",10%,15%,75%,0%,0%
Limitations of European Union policy and law for regulating use of lead shot and sinkers: Comparisons with North American regulation,Thomas V.G.; Guitart R.,2010,10.1002/eet.527,"Extensive shooting and angling causes, indirectly, fatal lead poisoning of birds. European Union policy on this major source of pollution is inconsistent with its laws regulating other forms of lead in the environment. Only three countries have banned the use of lead shot completely in the European Union, despite availability of substitutes and evidence that their use is a major contributor to bird conservation. The European Commission uses the criterion of amount of lead deposited and corroded, and the concentration of lead in water and soil, as the basis of their decisions. The USA and Canada used the prevalence of lead poisoning among birds as the basis of policy and law allowing them to reduce lead use at the continental level. The EU and North American policies and law on lead reduction are compared in this study, on the basis of which recommendations are developed indicating how the EU could revise its approach and resolve this environmental problem. Reluctance to act on lead reduction by the European Parliament and its member states refl ects the current vested interests of the sporting communities. Companies in eight European countries already produce non-toxic materials for hunting and shooting, and are not the limiting factor in this issue. Copyright © 2009 John Wiley & Sons, Ltd and ERP Environment.",EU; Fishing; Lead poisoning; Marketing; Non-toxic substitutes; Policy; Shooting; US legislation,,scopus-recommendation,29,Out of Scope,[],"The abstract discusses environmental issues related to lead poisoning in birds and compares European Union and North American policies on lead reduction. It does not pertain to marketing applications or any related AI categories focused on market analysis, customer understanding, or automated processes. Therefore, it is classified as 'Out of Scope'.",0%,0%,0%,100%,0%
Decision Quality Measures in Recommendation Agents Research,Aksoy L.; Cooil B.; Lurie N.H.,2011,10.1016/j.intmar.2011.01.001,"Electronic recommendation agents provide a way for online marketers to gather information about consumer preferences and assess the quality of consumer decisions. Much of the literature on recommendation agents, however, employs divergent measures to assess consumer decision quality. Moreover, decision quality measures are dictated by the type of agent employed. This article provides a review of the decision quality measures used in the recommendation agent research to date and proposes novel measures. We classify and examine the assumptions of-and relationships among-preference-dependent, preference-independent, and subjective measures of decision quality. The analysis of data from an experiment that simulates a broad spectrum of recommendation agents shows that the relative utility and the sum of attribute values of the chosen alternative capture the majority of variance in objective decision quality. Although subjective decision quality measures turn out to be poor proxies for objective measures, they provide important incremental information. Managerial implications for deploying electronic recommendation agents to gather information and measure consumer decision quality under different conditions are discussed. © 2011 Direct Marketing Educational Foundation, Inc.",Decision making; Decision quality; Measurement; Online; Preferences; Recommendation agents,,scopus-recommendation,16,Thinking AI,"['recommendation agents', 'consumer preferences', 'decision quality', 'market analysis', 'managerial implications']","The abstract discusses the evaluation of electronic recommendation agents and the measurement of consumer decision quality, which aligns with market analysis and strategic assessment of consumer preferences. It focuses on how different measures of decision quality relate to the performance of recommendation agents, which is indicative of market analysis and targeting strategies in marketing.",0%,0%,100%,0%,0%
